NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Titucius' Span,0.01,1,"(60-80)% increased Armour (), +(30-50) to maximum Life (), -(80-50) Physical Damage taken from Projectile Attacks (), 200% increased Armour against Projectiles (), +25% chance to Block Projectile Attack Damage ()"
Trolltimber Spire,0.01,1,"(130-150)% increased Armour (), +(40-60) to maximum Life (), 15% increased Area of Effect for Skills used by Totems (), 0.5% of Damage dealt by your Totems is Leeched to you as Life (), You and your Totems Regenerate 0.5% of Life per second for each Summoned Totem ()"
Vaal Caress,0.01,1,"+5 to Level of Socketed Vaal Gems (), -5 to Level of Socketed Non-Vaal Gems (), (120-140)% increased Armour and Evasion (), +(50-70) to maximum Life (), +40% to Cold Resistance (), You gain Onslaught for 20 seconds on using a Vaal Skill ()"
Veil of the Night,0.01,1,"(20-22)% increased Stun and Block Recovery (), 40% reduced Light Radius (), Reflects 1 to (180-220) Lightning Damage to Attackers on Block (), (18-22)% increased Global Defences (), Elemental Resistances are Zero ()"
Veruso's Battering Rams,0.01,1,"(8-13)% increased Attack Speed (), (120-180)% increased Armour (), (3-5)% increased Movement Speed (), 50% increased Stun Duration on you (), 4% increased Melee Damage per Endurance Charge (), You cannot be Shocked while at maximum Endurance Charges ()"
Victario's Charity,0.01,1,"+(50-70) to maximum Life (), +(20-30)% to Lightning Resistance (), +11% to Chaos Resistance (), 20% increased Area of Effect of Aura Skills (), 10% chance to grant a Power Charge to nearby Allies on Kill (), 5% chance to grant a Frenzy Charge to nearby Allies on Hit ()"
Victario's Flight,0.01,1,"+15 to Dexterity (), +15 to Intelligence (), (100-150)% increased Evasion Rating (), (10-20)% increased Movement Speed (), (10-20)% increased Movement Speed when on Low Life (), Quicksilver Flasks you Use also apply to nearby Allies ()"
Vis Mortis,0.01,1,"(200-220)% increased Energy Shield (), +(20-30) to maximum Mana (), Minions have 20% reduced maximum Life (), Minions deal 15% increased Damage (), Minions gain (15-20)% of Elemental Damage as Extra Chaos Damage ()"
Voidbringer,0.01,1,"+1 to Level of Socketed Elemental Gems (), (125-150)% increased Spell Critical Strike Chance (), (180-250)% increased Energy Shield (), Gain (15-20) Energy Shield per Enemy Killed (), Lose (40-80) Mana when you use a Skill ()"
Voll's Protector,0.01,1,"(100-150)% increased Armour and Energy Shield (), 50% reduced maximum Mana (), Gain a Power Charge for each Enemy you hit with a Critical Strike (), Inner Conviction ()"
Wake of Destruction,0.01,1,"Adds 1 to 120 Lightning Damage to Attacks (), (20-60)% increased Armour and Energy Shield (), Gain (10-20) Life per Enemy Killed (), 15% increased Movement Speed (), Drops Shocked Ground while moving, lasting 2 seconds ()"
Wheel of the Stormsail,0.01,1,"+(20-40) to Armour (), +(20-40) to Evasion Rating (), (30-40)% increased Rarity of Items found (), +(50-75)% to Lightning Resistance (), 100% increased Duration of Curses on you ()"
Winds of Change,0.01,1,"+(30-60) to maximum Life (), 30% increased Projectile Speed (), (5-10)% reduced Movement Speed (), 10% chance to Knock Enemies Back on hit (), (30-50)% increased Projectile Damage ()"
Wondertrap,0.01,1,"+(5-30) to Strength (), +(5-30) to Dexterity (), +(5-30) to Intelligence (), +(5-30) to maximum Energy Shield (), 100% increased Rarity of Items found when on Low Life (), (10-25)% increased Movement Speed ()"
Wyrmsign,0.01,1,"Socketed Gems are Supported by Level 5 Concentrated Effect (), (120-160)% increased Armour and Evasion (), +(50-70) to maximum Life (), 4% reduced Mana Cost per Endurance Charge (), Gain Rampage while at Maximum Endurance Charges (), Lose all Endurance Charges when Rampage ends ()"
Zahndethus' Cassock,0.01,1,"Adds 1 to 40 Lightning Damage to Attacks (), (125-150)% increased Energy Shield (), +(40-50)% to Chaos Resistance (), 25% increased Light Radius (), 100% chance to create Consecrated Ground when you Block ()"
The Baron,0.01,1,"+2 to Level of Socketed Minion Gems (), Minions have (10-20)% increased maximum Life (), Half of your Strength is added to your Minions (), +1 to maximum number of Raised Zombies per 500 Strength (), With at least 1000 Strength, (1.5-2)% of Damage dealt by your Raised Zombies is Leeched to you as Life ()"
Ahn's Heritage,0.01,1,"(50-100)% increased Armour (), +(60-80) to maximum Life (), -1 to Maximum Endurance Charges (), -10% to maximum Chance to Block Attack Damage (), +6% Chance to Block (), +2% to all maximum Resistances while you have no Endurance Charges (), You have Onslaught while at maximum Endurance Charges ()"
Haemophilia,0.01,1,"+(20-30) to Strength (), 25% increased Damage over Time (), Attacks have 25% chance to cause Bleeding (), (25-40)% increased Attack Damage against Bleeding Enemies (), Bleeding Enemies you Kill Explode, dealing 5% of
their Maximum Life as Physical Damage (), 25% reduced Bleeding Duration ()"
Inya's Epiphany,0.01,1,"(5-8)% increased Intelligence (), +(50-70) to maximum Life (), 25% increased Movement Speed (), 5% increased Damage per Power Charge (), 25% chance that if you would gain Power Charges, you instead gain up to
your maximum number of Power Charges ()"
Speaker's Wreath,0.01,1,"+(20-40) to Dexterity (), (10-15)% increased Skill Effect Duration (), 2% increased Minion Attack Speed per 50 Dexterity (), 2% increased Minion Movement Speed per 50 Dexterity (), Minions' Hits can only Kill Ignited Enemies ()"
Eber's Unification,0.01,1,"Trigger Level 10 Void Gaze when you use a Skill (), (150-180)% increased Energy Shield (), +(50-80) to maximum Mana (), 50% increased Stun and Block Recovery (), Gain (5-8)% of Elemental Damage as Extra Chaos Damage ()"
The Embalmer,0.01,1,"Socketed Gems are Supported by Level 20 Vile Toxins (), Adds (13-17) to (23-29) Chaos Damage (), +(50-70) to maximum Life (), +(17-29)% to Chaos Resistance (), (20-25)% increased Poison Duration ()"
Tinkerskin,0.01,1,"(140-170)% increased Evasion and Energy Shield (), +(60-90) to maximum Life (), (10-15)% increased Cooldown Recovery Rate for throwing Traps (), 15% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy (), 30% chance to gain Phasing for 4 seconds when your Trap is triggered by an Enemy (), Recover 100 Life when your Trap is triggered by an Enemy (), Recover 50 Energy Shield when your Trap is triggered by an Enemy ()"
Dendrobate,0.01,1,"Socketed Gems are Supported by Level 10 Chance to Poison (), (130-150)% increased Evasion and Energy Shield (), +40 to maximum Energy Shield (), +(15-25)% to all Elemental Resistances (), (75-100)% increased Damage with Poison if you have at least 300 Dexterity (), (15-25)% increased Poison Duration if you have at least 150 Intelligence ()"
The Coming Calamity,0.01,1,"+2 to Level of Socketed Herald Gems (), (80-100)% increased Energy Shield (), 35% chance to avoid being Stunned for each Herald Buff affecting you (), Mana Reservation of Herald Skills is always 45% ()"
Volkuur's Guidance,0.01,1,"Adds (1-3) to (42-47) Lightning Damage to Spells and Attacks (), +(50-70) to maximum Life (), +(30-40)% to Lightning Resistance (), Your Lightning Damage can Poison (), 50% less Poison Duration (), Lightning Skills have 20% chance to Poison on Hit ()"
Giantsbane,0.01,1,"+(30-40) to Strength (), Adds (5-8) to (12-16) Physical Damage to Attacks (), 10% reduced Attack Speed (), (80-100)% increased Armour (), Arrows Pierce 2 additional Targets (), Iron Grip ()"
Kalisa's Grace,0.01,1,"Socketed Gems are Supported by Level 18 Faster Casting (), +(20-30) to Intelligence (), +(50-80) to maximum Energy Shield (), +(50-70) to maximum Life (), Gain +2% to Critical Strike Chance for 2 seconds after Spending a total of 800 Mana ()"
Oskarm,0.01,1,"Trigger Level 10 Assassin's Mark when you Hit a Rare or Unique Enemy and have no Mark (), +(10-12)% chance to Suppress Spell Damage (), (30-40)% increased Global Accuracy Rating (), +(40-50) to maximum Life (), -(20-10)% to Chaos Resistance (), 2% increased Attack Critical Strike Chance per 200 Accuracy Rating ()"
Bloodbond,0.01,1,"Grants Level 15 Blood Offering Skill (), (100-120)% increased Evasion and Energy Shield (), (15-25)% increased maximum Life (), Minions have (20-30)% increased maximum Life (), Regenerate 1% of Life per second (), Minions have +(12-15)% chance to Suppress Spell Damage ()"
Stormcharger,0.01,1,"+(1-50)% to Lightning Resistance (), (1-40)% increased Movement Speed (), (1-100)% increased Duration of Lightning Ailments (), (1-50)% increased Effect of Lightning Ailments (), Unaffected by Shocked Ground ()"
Invictus Solaris,0.01,1,"+2 to Level of Socketed Gems (), Triggers Level 20 Fire Aegis when Equipped (), (200-250)% increased Armour and Energy Shield (), +(60-80) to maximum Life (), Cannot be Ignited ()"
Vix Lunaris,0.01,1,"+2 to Level of Socketed Gems (), Triggers Level 20 Cold Aegis when Equipped (), (200-250)% increased Armour and Evasion (), +(60-80) to maximum Life (), Cannot be Frozen ()"
Leper's Alms,0.01,1,"(500-600)% increased Evasion and Energy Shield (), +(60-80) to maximum Life (), 40% increased Duration of Ailments on Enemies (), +(3-4)% Chance to Block (), Shared Suffering ()"
Volkuur's Guidance,0.01,1,"Adds (16-20) to (25-30) Cold Damage to Spells and Attacks (), +(50-70) to maximum Life (), +(30-40)% to Cold Resistance (), Your Cold Damage can Poison (), 50% less Poison Duration (), Cold Skills have 20% chance to Poison on Hit ()"
Yriel's Fostering,0.01,1,"Grants Level 20 Summon Bestial Snake Skill (), +(300-400) to Accuracy Rating (), (130-150)% increased Evasion Rating (), +(90-100) to maximum Life (), Projectile Attack Skills have (40-60)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to Poison on Hit while
you have a Bestial Minion (), Adds (13-19) to (23-29) Chaos Damage to Attacks while you have a Bestial Minion ()"
Yriel's Fostering,0.01,1,"Grants Level 20 Summon Bestial Ursa Skill (), +(300-400) to Accuracy Rating (), (130-150)% increased Evasion Rating (), +(90-100) to maximum Life (), Projectile Attack Skills have (40-60)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to inflict Bleeding on Hit while
you have a Bestial Minion (), Adds (11-16) to (21-25) Physical Damage to Attacks while you have a Bestial Minion ()"
Lightpoacher,0.01,1,"Has 1 Abyssal Socket (), Trigger Level 20 Spirit Burst when you Use a Skill while you have a Spirit Charge (), +(10-15)% to all Elemental Resistances (), +1 to Maximum Spirit Charges per Abyss Jewel affecting you (), Gain a Spirit Charge on Kill (), Gain 5% of Physical Damage as Extra Damage of each Element per Spirit Charge ()"
Volkuur's Guidance,0.01,1,"Adds (16-20) to (25-30) Fire Damage to Spells and Attacks (), +(50-70) to maximum Life (), +(30-40)% to Fire Resistance (), Your Fire Damage can Poison (), 50% less Poison Duration (), Fire Skills have 20% chance to Poison on Hit ()"
Yriel's Fostering,0.01,1,"Grants Level 20 Summon Bestial Rhoa Skill (), +(300-400) to Accuracy Rating (), (130-150)% increased Evasion Rating (), +(90-100) to maximum Life (), Projectile Attack Skills have (40-60)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to Maim on Hit while
you have a Bestial Minion (), (10-15)% increased Attack and Movement Speed while you have a Bestial Minion ()"
Mark of the Red Covenant,0.01,1,"+(30-50) to maximum Energy Shield (), Summoned Raging Spirits deal (175-250)% increased Damage (), 75% reduced Maximum number of Summoned Raging Spirits (), Summoned Raging Spirits' Hits always Ignite (), Summoned Raging Spirits' Melee Strikes deal Fire-only Splash
Damage to Surrounding Targets ()"
Gorgon's Gaze,0.01,1,"Grants Level 20 Petrification Statue Skill (), (200-250)% increased Energy Shield (), +(60-80) to maximum Life (), (5-10)% increased Attack and Cast Speed (), 5% additional Physical Damage Reduction while moving (), 5% reduced Elemental Damage taken while stationary ()"
Chains of Command,0.01,1,"Trigger Level 20 Animate Guardian's Weapon when Animated Guardian Kills an Enemy (), 10% chance to Trigger Level 18 Animate Guardian's Weapon when Animated Weapon Kills an Enemy (), (150-190)% increased Armour and Energy Shield (), +(60-90) to maximum Life (), Animated Guardian deals 5% increased Damage per Animated Weapon (), Animated Minions' Melee Attacks deal Splash Damage to surrounding targets (), Animated Minions' Melee Attacks deal 50% less Splash Damage to surrounding targets (), You cannot have non-Animated Minions ()"
Zeel's Amplifier,0.01,1,"(40-50)% increased Spell Damage (), +(60-80) to maximum Energy Shield (), +(50-70) to maximum Life (), 1% increased Area of Effect per Enemy killed recently, up to 50% (), You have Zealot's Oath if you haven't been hit recently ()"
The Eternal Apple,0.01,1,"Trigger a Socketed Warcry Skill on losing Endurance Charges, with a 0.25 second Cooldown (), +(60-80) to maximum Life (), +(17-23)% to Chaos Resistance (), You lose all Endurance Charges on reaching maximum Endurance Charges (), Cannot Block (), 50% increased Warcry Cooldown Recovery Rate ()"
Curtain Call,0.01,1,"+23 to maximum Life (), (10-15)% reduced Mine Throwing Speed (), Mines have (40-50)% increased Detonation Speed (), Skills which throw Mines throw up to 1 additional Mine if you have at least 800 Dexterity (), Skills which throw Mines throw up to 1 additional Mine if you have at least 800 Intelligence ()"
Demon Stitcher,0.01,1,"(15-20)% increased Cast Speed (), +(100-120) to maximum Energy Shield (), +(100-120) to maximum Life (), Sacrifice (5-25)% of Life to gain that much Energy Shield when you Cast a Spell ()"
Thundersight,0.01,1,"(240-280)% increased Energy Shield (), +(30-40)% to Lightning Resistance (), (30-40)% increased Elemental Damage (), (25-50)% chance to Sap Enemies (), Cannot inflict Shock ()"
Galesight,0.01,1,"(240-280)% increased Energy Shield (), +(30-40)% to Cold Resistance (), (30-40)% increased Elemental Damage (), (25-50)% chance to inflict Brittle (), Cannot inflict Freeze or Chill ()"
Flamesight,0.01,1,"(240-280)% increased Energy Shield (), +(30-40)% to Fire Resistance (), (30-40)% increased Elemental Damage (), (25-50)% chance to Scorch Enemies (), Cannot inflict Ignite ()"
Vixen's Entrapment,0.01,1,"Trigger Socketed Curse Spell when you Cast a Curse Spell, with a 0.25 second Cooldown (), +(50-90) to maximum Energy Shield (), 0.2% of Spell Damage Leeched as Energy Shield for each Curse on Enemy (), You can apply an additional Curse (), Curse Skills have (10-20)% increased Cast Speed ()"
Wreath of Phrecia,0.01,1,"Has no Attribute Requirements (), Increases and Reductions to Light Radius also apply to Area of Effect at 50% of their value (), Increases and Reductions to Light Radius also apply to Damage (), (15-25)% increased Light Radius (), Deal no Chaos Damage ()"
Maw of Conquest,0.01,1,"(60-80)% increased Spell Critical Strike Chance (), (200-250)% increased Energy Shield (), +(50-70) to maximum Life (), Unaffected by Poison (), (10-20)% of Damage taken Recouped as Life ()"
Aukuna's Will,0.01,1,"+(30-40) to Dexterity (), (5-7)% increased Cast Speed (), (100-150)% increased Evasion and Energy Shield (), Raised Zombies have (80-100)% increased maximum Life (), Raise Zombie does not require a corpse (), Your Raised Zombies count as corpses ()"
